Token,Type,2-corn/corn_3,2-corn/corn_1,2-corn/corn_4,1-corn/corn_4,0-cube/cube_3,4-cube/cube_4,0-cube/cube_1,4-cube/cube_3,0-cube/cube_4,3-corn/corn_4,3-corn/corn_3,3-corn/corn_1,1-corn/corn_1,0-corn/corn_1,0-corn/corn_3,0-corn/corn_4,3-cube/cube_4,3-cube/cube_1,3-cube/cube_3,2-cucumber/cucumber_2,2-cucumber/cucumber_1,0-banana/banana_2,0-banana/banana_3,2-cucumber/cucumber_4,0-banana/banana_1,1-banana/banana_3,1-banana/banana_2,1-banana/banana_1,2-cube/cube_3,0-cucumber/cucumber_1,0-cucumber/cucumber_2,0-cucumber/cucumber_4,1-corn/corn_3,3-cucumber/cucumber_4,3-cucumber/cucumber_2,3-cucumber/cucumber_1,4-cucumber/cucumber_4,2-banana/banana_1,4-cucumber/cucumber_1,4-corn/corn_4,4-corn/corn_3,2-cube/cube_4,1-cube/cube_1,2-cube/cube_1,1-cube/cube_4,1-cube/cube_3,1-cucumber/cucumber_4,1-cucumber/cucumber_1,1-cucumber/cucumber_2
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,0.999991152873596,0.9999909963007485,0.9999909274656479,0.9999906848543497,1.154115513582381e-06,9.297384112940273e-29,0.01869978047642157,0.008711039027836544,1.721809957506554e-23,0.9999911288603512,0.9999912477413626,0.9999911104692311,0.9999919365929792,0.9999918960387907,0.9999910452858574,0.9999903691348777,1.3112750578025182e-27,0.02127944286703736,0.00010361061612369905,0.9999999163678849,0.999999876208653,0.9989993455178593,0.9989040602880919,0.9999999168646205,0.999781164230755,0.9900088421070664,0.9979086002990488,0.9997011373585734,2.2643870891429203e-05,0.999999865823916,0.9999999299249918,0.9999999204226805,0.999991840990406,0.9999999167763332,0.9999998792342538,0.9999999095716008,0.9999999030303187,0.9996034186041628,0.9999999134674721,0.9999899668922664,0.999991316177643,2.083277179846388e-27,0.017539423042958198,0.017258824326323776,1.4059749158108152e-23,5.6119066898180005e-06,0.999999920197486,0.9999998911873181,0.9999999100630707
banana,shape,0.9993872158114232,0.9997760370414288,0.9999287075054332,0.9999410748272821,0.0002972045154737091,0.0006427656527646582,3.481621978052655e-05,2.7550178165559687e-05,2.3232408813098114e-05,0.9998704425924082,0.9987720992739613,0.0008517801391826408,0.9994596569335205,0.9998048359022552,0.9998567636336548,0.9998837415741183,0.00013056902575685805,0.00017385635389028831,0.00025671822814563256,0.998710392214442,0.7445024085535487,0.9999631007860798,0.9999457685976046,0.9999367541063475,0.9998715053337762,0.9999938978574964,0.9999836773612556,0.9996320851356362,8.414249527687982e-05,0.999644352531705,0.9923535069940235,0.9995463868537702,0.9997566021220534,0.9989162080579964,0.00024471051916140227,0.9999374520887794,0.9998420346215451,0.9996336402789743,6.985877665546225e-05,0.9998542165026035,0.3860507625452117,6.745175709082284e-05,3.70870116792999e-05,4.110883912093112e-05,0.0006380842312237364,9.845628115470917e-05,0.9999187231440727,0.9998642006375417,0.999918250408089
banana,object,0.9991257499481101,0.9997403571183412,0.9999256185794277,0.9999389726173148,0.00012239058584783197,0.11947609680454856,0.00010379481352759355,1.1275779154716516e-05,0.0027914791594066592,0.9998239787224138,0.997982015242681,0.009962807916191965,0.9991307875133402,0.9997268836382752,0.9998170810579126,0.9998788589724161,0.03435153232716285,0.0002893863813854195,8.305988372842812e-05,0.9813064755646287,0.7243492694692246,0.9999782381761458,0.999968235757652,0.9998182612806317,0.9999057537744962,0.9999932013521811,0.9999895978469568,0.9997375779663396,8.662726367979644e-06,0.998735535325118,0.9764188347734649,0.9987287305170364,0.9995844606584187,0.9956337338515644,0.0028920569228209855,0.9997726384689617,0.9991049642091927,0.9997320163313995,0.0012686164828482737,0.9998443071632993,0.7775748681279601,0.016546324206883598,9.513342028235392e-05,9.670852497276015e-05,0.12524629792982697,8.918963423385825e-06,0.9997678755898349,0.999468082126959,0.9997268412690048
corn,rgb,0.9991958955999407,0.9938151260510111,0.9993492072136322,0.9994712961265689,8.716142065026136e-05,1.0,7.002733893392813e-19,0.00522317008640308,1.0,0.9992181679883804,0.9990973933915605,0.9921659786571673,0.989810472954147,0.9913101380804932,0.9995278315182898,0.9995889734923172,1.0,2.606237407716506e-18,0.00020603005590287353,2.1031337612182985e-12,1.7362750303172192e-13,0.00048487627079674394,0.0003298946644337149,4.7774425425632255e-11,0.008326473769916196,5.50294254592903e-07,4.088705266300286e-05,0.0028456126911242784,3.084265408384737e-05,3.1964489976593356e-15,8.97592367589599e-13,6.33352755398281e-12,0.999056543808321,5.322345120318165e-11,8.989652939247423e-14,3.9156462293156884e-11,6.233191756053012e-10,0.005811700824532003,1.2437929166032286e-09,0.9995160387631843,0.9990595476249965,1.0,9.602627795749751e-19,9.467084221524156e-19,1.0,3.521615469673923e-05,2.750940646165865e-11,4.341374213988347e-14,3.97986260812004e-13
corn,shape,0.9999948638255054,0.9998991269850824,0.9999996397756913,0.9999998802569635,3.339356775209858e-05,0.00033372513570381873,2.1331893377034604e-06,0.00011066405447045833,1.2174586338085952e-05,0.9999918090841888,0.9999626418563171,0.9989628180133284,0.9999797704778705,0.9999581200201358,0.9999991600669254,0.9999358483047764,0.0006534377327162154,0.00037125227151816047,0.00029825467072459795,0.34905838783182724,0.7191138470490183,0.9702200026110158,0.9998685909226055,0.999639551276531,2.388289648112249e-05,0.02598551394116524,0.9999882347891699,0.00015564737349115006,0.00025798518216693596,0.9822376152193242,0.9958190421239282,0.9885382185106402,0.9999992138304278,0.9988244363045053,0.0002948428725476591,0.9989748448024793,0.9288433148623235,3.9747240875914135e-05,1.6567794963946284e-05,0.9999989819519154,0.9994896953576765,0.0005330228910088651,1.1614430317609618e-06,0.0014736181672290209,0.0005650115747279594,8.607849430438342e-06,0.9999971490991425,0.9995396196121563,0.9999975425776599
corn,object,0.9999919340311845,0.9999406868088295,0.9999994883564132,0.9999998236199361,7.878694511323956e-07,0.9920729457861834,0.02838912456144872,0.00013778653662710035,0.8429959403948929,0.9999908997572903,0.9999362168506577,0.9993823321275094,0.9999840409673405,0.9999788594814136,0.9999986123595537,0.9999335490817831,0.9987368339617916,0.7180577420215472,0.00010743098847219532,0.10600043433718388,0.9548070526980243,0.9973962944559461,0.9999853869407908,0.999805338277089,7.840712882316242e-05,0.42880483046341533,0.9999984233582062,0.00017422757557340645,5.917786907534617e-05,0.9860627514727366,0.9964421078402604,0.9841819160335692,0.9999979919676169,0.9986445922474307,0.07892127611213764,0.9991481570175458,0.8740627822095299,0.00014424084172750656,0.00829238853354809,0.9999912946483973,0.9995987967435048,0.9969849761073614,0.021274263687047188,0.9296301158958153,0.9968128693188508,8.807908563705374e-07,0.9999947309763443,0.9994034040402988,0.99999686756269
cube,rgb,9.61325668743183e-07,1.03032278735775e-06,9.556017733502672e-07,9.513494231365352e-07,0.9999999991952377,0.9999982892482843,0.9985077208181078,0.999990906003502,0.9965915246439021,9.60898579946452e-07,9.633895077041037e-07,1.0604124914763137e-06,1.1209059342766035e-06,1.100406735960731e-06,1.005503248435181e-06,9.489107800799143e-07,0.9999916729015945,0.9974397328740847,0.9999999492853774,0.003982344137404206,0.008410307868441784,5.8825836569459966e-05,6.817394551330614e-05,0.0015222189084464922,1.560482820910445e-05,0.0011538928558673667,0.00016257271008510865,2.3386097035976872e-05,0.9999999936172626,0.032682111738267274,0.005504186381178631,0.002853671215417526,1.017261170129164e-06,0.0014737024716848241,0.010526583366353232,0.0015733957730237915,0.0006880383764153776,2.0781349380107564e-05,0.0005961405874672087,8.979689726598465e-07,9.67280376405831e-07,0.9999870967713915,0.998376827437846,0.9983977037195613,0.9970133575457608,0.9999999979179468,0.001820007566297265,0.01364785029521373,0.006715880401280525
cube,shape,1.933486318602289e-05,0.00011486083592765641,6.684150077078599e-07,3.540074827213047e-07,0.9993220104521813,0.9999421292292426,0.9998693935777344,0.9999818217367844,0.999967363515104,8.867753126553537e-07,0.0014663423436303326,0.0012848384470063084,2.8469795883861895e-05,6.236276318127768e-06,9.873737260920452e-07,8.38951782743915e-07,0.9998624904323445,0.9997530723469896,0.9995095544960791,0.0005321661326650852,4.2303190568641045e-05,9.697215512474713e-06,2.6213213079448767e-05,0.00020562474109166474,0.00023546459335403155,2.8669735546276908e-05,8.911509575414361e-07,0.000303025583179475,0.999809107161201,1.8960501739041324e-06,3.278532110007434e-07,7.654905588227677e-07,2.3556925028103577e-05,3.2421650598925153e-07,0.1075561220076412,6.311259062475166e-05,0.0007753277964275356,0.0006077121284690421,0.0007487089171183972,5.039563935833135e-06,0.48008997997594743,0.9999290608139104,0.9999073891870799,0.9998309225475968,0.9999631992734488,0.9999523794250326,1.1658056227562105e-06,1.1837366018502363e-06,2.3750831488041642e-05
cube,object,1.3714687236707549e-05,6.190942686006912e-05,1.7926327664810226e-07,9.793122548225387e-08,0.9996995578917051,0.999943832690968,0.9998767534781622,0.999987069664391,0.9999331058688369,4.589080584175653e-07,0.0007518337828685998,0.0009229126717156597,2.0376007798954444e-05,3.56687416518598e-06,4.727487633308577e-07,2.4257406357553004e-07,0.9998688706659935,0.9998065139196975,0.9999084893139925,0.0020424229166991176,4.3744657652195275e-05,5.93201367714078e-07,2.3102377833064733e-06,4.873226110184444e-05,6.365691655189569e-05,6.726729697472486e-06,1.233345249015252e-07,0.00019275742488270898,0.9999707707522154,2.77229985630879e-06,7.244900126236356e-07,8.863931760982188e-07,1.4297817654788534e-05,6.880694522997657e-07,0.032916402663970556,4.7928514469947125e-05,0.000886593532146756,0.00035595895857564347,0.0004851178459603814,3.037167675652923e-06,0.11131015946512737,0.9999035954328744,0.99990808755871,0.9998682639106155,0.9999020067636295,0.9999948710193537,8.595382360902338e-07,1.5772402260015367e-06,1.3446704772056674e-05
cucumber,rgb,9.74065873942464e-06,2.619933663174579e-05,8.66577249443414e-06,7.721031603823556e-06,6.267824382971953e-05,9.89651064206373e-30,0.9996673548675549,0.0001443391704726889,8.060072103498722e-28,9.594650966130069e-06,1.0363739102693994e-05,2.9774515416236255e-05,3.613235264614683e-05,3.3215420105666413e-05,7.5659538947651874e-06,6.712526216608498e-06,3.222104716880078e-29,0.9993428282081422,0.00019245118402872737,0.9999035750692421,0.9999695649673132,0.002206642239137383,0.0026104576241071007,0.999464318642371,0.0009587501617278831,0.03073273893564985,0.006052604365257522,0.0014861187097541912,0.00033184776542695405,0.9999965851437349,0.9999459876259366,0.9998281371854288,1.113810698784729e-05,0.9994313201480717,0.9999792081489262,0.999493958447931,0.9976078404956404,0.000878228888543008,0.9967673466033241,7.012377212493484e-06,1.0625892414405581e-05,2.7401866576474765e-29,0.9995910667851674,0.9995913714684282,7.626667647898635e-28,0.00018634910378790933,0.9996140956430228,0.9999869566745638,0.9999599514448407
cucumber,shape,0.9933822085846038,0.9659461256648524,0.999999611748249,0.9999995323906739,0.00010214562508857279,4.034316792767183e-05,0.008418311212718336,0.00018055906626891774,7.550321447812211e-05,0.9999983885279375,0.889168815246456,0.0003502456564712894,0.9970312244427879,0.9999959838477597,0.9999976459829437,0.9999998695467848,0.00013801835356086383,0.00046484797701504136,0.00010962843759811149,0.9997152675771327,0.9998814035099797,0.9998871030018066,0.9999227745738107,0.9999892696089725,0.0001604931355674027,0.9970408805678287,0.9999922793883869,7.826280125328692e-05,2.598747846903544e-05,0.9999792681464372,0.999993274726722,0.999972995139423,0.9973124561380171,0.9999961446844187,0.9997377518011834,0.9999597904762383,0.9998778006097758,0.00010794930525221904,0.9997803286601625,0.9903084589420483,0.0027613866946701185,1.819361999042175e-05,0.01483814267126838,0.0013861084014859266,0.0002352471687966202,1.4158135103845182e-05,0.99999847765881,0.9999931546639877,0.9999966513572305
cucumber,object,0.9327138754502348,0.8417668415066322,0.9999786237489078,0.9999746665923285,1.5736684814541154e-05,1.3185043324533829e-06,0.9200511875617515,0.0001193640665508592,3.32596399256541e-06,0.9998484318375218,0.6288967522813554,0.005315191712642356,0.9718386220034256,0.9998194447626305,0.9998259631077557,0.9999719636661561,6.508967710838852e-06,0.6351559441292999,3.4750373227475006e-05,0.9997711544307678,0.9999262656092255,0.9997071768226916,0.9999495940449696,0.9999934950595796,0.00014841505662518964,0.9950445959621911,0.9999904925854483,0.0001264247692926065,1.3446712228254899e-05,0.9999800762008654,0.999987132896625,0.9999442248988422,0.9742575066868984,0.9999861993765431,0.9998697915301286,0.9999789616331181,0.9998954447123838,0.00017793835747119743,0.9998020149373525,0.9235266619308856,0.00507905167551302,1.4585743878365135e-06,0.9425992733399521,0.8747464662315062,9.52738595673678e-06,3.7276002092037647e-06,0.9999974346616243,0.9999905238968275,0.9999990141298918
fruit,rgb,0.9999619124758573,0.999945602773155,0.9999640744648157,0.9999660730110342,5.390543859159276e-05,1.0,0.0015056909355415306,0.0017712770551215297,1.0,0.9999621718399131,0.999960824960306,0.9999412285682174,0.9999294093786445,0.9999327220165531,0.999963264545725,0.9999682815896132,1.0,0.0029818645850235043,0.0001413725156662535,0.0003249051904493218,0.0001360797716466845,0.9994178285739815,0.999327848075177,0.0014944284649437932,0.999683573373961,0.9938714939735169,0.998609864233129,0.9995532442402801,3.807754068641889e-05,1.736535068987117e-05,0.0001716961070418445,0.0005312836114780689,0.9999555140531682,0.0015754416426328839,9.397769554449186e-05,0.0015028408967454904,0.005990986276743858,0.999722380367984,0.007049228805282111,0.9999705249261451,0.9999601495493146,1.0,0.001829981503724594,0.0018250859873047832,1.0,3.599394142798857e-05,0.0010908744630617987,5.766356293982731e-05,0.000150785385423229
fruit,shape,0.9847173286208831,0.9948201011627702,0.999460405480111,0.9993661134668939,0.00035876801736891434,0.0007086495535049095,5.385762181265612e-05,1.949145059511083e-05,2.5316713628332096e-05,0.9986643539104647,0.9836485685822065,0.0006928755057988674,0.9863307304897178,0.9987306473961977,0.9986814554736958,0.9993332876781141,0.00013162033683691805,0.00018303482171950678,0.0002262852840393062,0.9986959375963658,0.25255264360520413,0.9998898129278684,0.999921321291434,0.9997136826011375,0.9998780174380578,0.999986577113934,0.9999588347736613,0.9996337894212333,6.9783443997745e-05,0.9978073223035785,0.8891420660738611,0.9975546908243976,0.9954155089874868,0.9853334884248791,0.00012533580227499846,0.9998571617989366,0.9997898183269995,0.9995329683944671,9.136708752823985e-05,0.998104152154632,0.08403817425786558,5.3795092589642336e-05,4.937069256909289e-05,4.947212257900832e-05,0.0005475610645490027,8.787113268548693e-05,0.9994428132825403,0.9990428521983408,0.9996103873138987
